recclass,average_mass
Acapulcoite,490.4244074074074
Acapulcoite/Lodranite,31.793333333333333
Acapulcoite/lodranite,44.93333333333334
Achondrite-prim,1078.0
Achondrite-ung,895.8456140350877
Angrite,1382.3700000000001
Aubrite,67150.61333333333
Aubrite-an,8390.77
Brachinite,565.0403030303031
C,156.4475
C1-ung,
C1/2-ung,41.73
C2,0.8
C2-ung,1129.1014285714286
C3-ung,617.5666666666667
C3.0-ung,286.0
C3/4-ung,12.0
C4,28.97
C4-ung,1749.3333333333333
C4/5,226.0
C5/6-ung,169.2
C6,83.19999999999999
CB,97.425
CBa,44043.2
CBb,653.5600000000001
CH/CBb,16000.0
CH3,223.7309523809524
CH3 ,74.0
CI1,2390.192888888889
CK,120.73333333333333
CK3,214.65692307692308
CK3-an,540.6
CK3.8,195.0
CK3/4,167.0
CK4,1276.9618
CK4-an,2932.6666666666665
CK4/5,241.56583333333333
CK5,131.5678723404255
CK5/6,145.73333333333332
CK6,103.32235294117648
CM,359.89
CM-an,66.0
CM1,45.68578947368421
CM1/2,175.79944444444445
CM2,368.379615942029
CM2-an,12.7
CO3,510.3199552238806
CO3 ,308.0
CO3.0,1150.16
CO3.1,303.31666666666666
CO3.2,25598.88875
CO3.3,4314.801428571429
CO3.4,1415.594
CO3.5,4799.423333333333
CO3.6,1010.1183333333333
CO3.7,1600.0
CO3.8,7901.666666666667
CR,271.8225
CR-an,114000.0
CR1,57.550000000000004
CR2,226.8968888888889
CR2-an,160.0
CR7,868.0
CV2,30.6
CV3,8953.69018359375
CV3-an,825.8
Chondrite-fusion crust,0.71
Chondrite-ung,997.562
Diogenite,899.4614522821577
Diogenite-an,261.8666666666667
Diogenite-olivine,747.5777777777778
Diogenite-pm,2209.5454545454545
E,57210.88428571429
E-an,18.86
E3,2.387621359223301
E3-an,25.666666666666668
E4,42.6875
E5,1.0979999999999999
E5-an,9.77
E6,345.2577777777778
EH,0.59
EH-imp melt,82.70333333333333
EH3,293.86358333333334
EH3/4-an,28.0
EH4,7701.782222222221
EH4/5,39.28888888888889
EH5,4654.038333333333
EH6,92.94659999999999
EH6-an,75.61
EH7,2427.9
EH7-an,4720.0
EL-melt rock,8.3
EL3,135.74947368421053
EL3/4,34.6
EL4,234.97615384615386
EL4/5,608.9
EL5,593.9833333333333
EL6,1993.5326944444444
EL6 ,68.15
EL6/7,58150.0
EL7,421.0
Enst achon,219.63333333333333
Enst achon-ung,3147.6666666666665
Eucrite,436.19876470588235
Eucrite-Mg rich,207.925
Eucrite-an,6463.0
Eucrite-br,179.68900000000002
Eucrite-cm,2063.8076923076924
Eucrite-mmict,5963.286018518519
Eucrite-pmict,481.82130434782607
Eucrite-unbr,89.05875
Fusion crust,0.07825
H,3537.4928414634146
H(5?),159.9
H(?)4,16.16
H(L)3,791.05
H(L)3-an,271.0
H-an,24.455
H-imp melt,11.860000000000001
H-melt breccia,47.0925
H-melt rock,121.83749999999999
H-metal,10.67
H/L3,150.53333333333333
H/L3-4,2000.0
H/L3.5,1001.0
H/L3.6,28000.0
H/L3.7,47.83
H/L3.9,7250.0
H/L4,1456.9884615384615
H/L4-5,1575.3
H/L4/5,96.8
H/L5,289.5757142857143
H/L6,86.2209090909091
H/L6-melt rock,436.4
H/L~4,411.0
H3,796.078378238342
H3 ,10.55
H3-4,9010.016
H3-5,1565.5741025641025
H3-6,6941.478372093024
H3-an,61.4
H3.0,182.85
H3.0-3.4,738.0
H3.05,78.2
H3.1,187.60000000000002
H3.10,330.0
H3.15,730.0
H3.2,88.385
H3.2-3.7,17.7
H3.2-6,83.9
H3.2-an,524.4333333333334
H3.3,414.2142857142857
H3.4,652.2410625
H3.4-5,230.3
H3.4/3.5,499.5
H3.5,838.1905555555555
H3.5-4,167.3
H3.6,7203.912714285713
H3.6-6,623.4
H3.7,3635.4982666666665
H3.7-5,2048.3705
H3.7-6,97.8
H3.7/3.8,208.6
H3.8,1473.9910526315791
H3.8-4,50000.0
H3.8-5,125.0
H3.8-6,890.345
H3.8-an,2135.5
H3.8/3.9,50.13
H3.8/4,351.0
H3.9,836.2806976744185
H3.9-5,161.0
H3.9-6,171.0475
H3.9/4,5587.546
H3/4,514.5274571428571
H4,997.4195499881263
H4 ,8.659999999999998
H4(?),0.4
H4-5,747.896744680851
H4-6,1615.707313432836
H4-an,312.901
H4-melt breccia,468.0
H4/5,1601.5579088785048
H4/6,1493.0166666666667
H5,2166.091410198935
H5 ,831.5059090909091
H5-6,2883.4873015873018
H5-7,3891.0
H5-an,25.95
H5-melt breccia,509.75
H5/6,837.3940414507772
H6,862.3669882924675
H6 ,3.36
H6-melt breccia,332.4266666666667
H6/7,68.5
H7,228.46666666666667
H?,430.1
Howardite,652.054125
Howardite-an,494.0
H~4,592.6888888888889
H~4/5,256.43333333333334
H~5,820.3205405405406
H~6,791.4463636363636
Impact melt breccia,172.0
Iron,32316.30578947369
"Iron, IAB complex",180809.19784313726
"Iron, IAB-MG",1301547.2313253013
"Iron, IAB-an",2154.3333333333335
"Iron, IAB-sHH",3862.2
"Iron, IAB-sHL",9438.261176470589
"Iron, IAB-sHL-an",762.0
"Iron, IAB-sLH",7382.5666666666675
"Iron, IAB-sLL",164194.64074074072
"Iron, IAB-sLM",19816.1
"Iron, IAB-ung",686004.9673913043
"Iron, IAB?",1582.75
"Iron, IC",892556.3
"Iron, IC-an",35000.0
"Iron, IIAB",322715.86017094017
"Iron, IIAB-an",59.0
"Iron, IIC",26483.375
"Iron, IID",67423.61578947368
"Iron, IID-an",11790.0
"Iron, IIE",42413.0
"Iron, IIE-an",53137.04571428571
"Iron, IIE?",4.6
"Iron, IIF",11156.0
"Iron, IIG",24303.166666666668
"Iron, IIIAB",488805.94697183097
"Iron, IIIAB-an",240233.33333333334
"Iron, IIIAB?",7795.5
"Iron, IIIE",2076114.4285714286
"Iron, IIIE-an",58400.0
"Iron, IIIF",55777.26666666667
"Iron, IVA",463545.4791044776
"Iron, IVA-an",73986.66666666667
"Iron, IVB",4322832.857142857
"Iron, ungrouped",422159.3985840708
Iron?,2250.0
K,23.1
K3,180.5
L,3130.59006
L(?)3,10.235
L(H)3,65.7
L(LL)3,55.86
L(LL)3.05,491.54999999999995
L(LL)3.5-3.7,1228.1
L(LL)5,1056.0
L(LL)6,265.0
L(LL)~4,331.0
L-imp melt,948.5056
L-melt breccia,237.86999999999998
L-melt rock,2268.984761904762
L-metal,1.0253999999999999
L/LL,11.8
L/LL(?)3,2.0
L/LL-melt rock,23.2
L/LL3,357.93
L/LL3-5,413.76666666666665
L/LL3-6,68.0
L/LL3.10,287.0
L/LL3.2,1608.2
L/LL3.4,2994.5275
L/LL3.5,32.4
L/LL3.6/3.7,2618.0
L/LL4,22547.43335
L/LL4-6,3650.0
L/LL4/5,789.2
L/LL5,39847.48125
L/LL5-6,3287.0
L/LL5/6,350.8
L/LL6,12365.51076923077
L/LL6-an,5900.0
L/LL~4,23.6
L/LL~5,315.35
L/LL~6,700.9
L3,1534.44678630137
L3-4,284.75
L3-5,945.6923076923077
L3-6,3800.4562499999997
L3-7,122.25
L3-melt breccia,1604.0
L3.0,96.50500000000001
L3.0-3.7,50.1
L3.0-3.9,424.1
L3.00,81.0
L3.05,231.15
L3.1,876.1438461538462
L3.10,404.0
L3.2,1153.7913333333333
L3.2-3.5,351.7
L3.2-3.6,65.3
L3.3,442.1258823529412
L3.3-3.5,4.9
L3.3-3.6,203.3
L3.3-3.7,15.4
L3.4,273.9950980392157
L3.4-3.7,272.0
L3.5,561.3556818181819
L3.5-3.7,149.5
L3.5-3.8,73.0
L3.5-3.9,325.8
L3.5-5,5590.0
L3.6,1773.0595833333334
L3.6-4,153.2
L3.7,1082.17
L3.7-3.9,1470.0
L3.7-4,31.4
L3.7-6,6100.0
L3.7/3.8,350.0
L3.8,828.0681818181819
L3.8-5,345.55
L3.8-6,340.3333333333333
L3.8-an,14040.0
L3.9,1513.5466666666669
L3.9-5,31.94
L3.9-6,186.0
L3.9/4,402.0
L3/4,156.05916666666667
L4,1635.8802490023943
L4 ,66.01333333333334
L4-5,9275.753333333332
L4-6,70540.4712121212
L4-an,57.2
L4-melt breccia,5200.0
L4-melt rock,758.1
L4/5,1666.9852033898303
L5,1797.3517027534417
L5 ,12.959047619047618
L5-6,8938.002195121951
L5-7,929.4
L5-melt breccia,2198.6666666666665
L5/6,2302.9493577981652
L6,1450.444283729919
L6 ,30.348518518518517
L6-melt breccia,844.3399999999999
L6-melt rock,22000.0
L6/7,5855.368888888889
L7,661.4038095238096
LL,103.21022222222221
LL(L)3,995.2714285714285
LL(L)3.1,3200.0
LL-imp melt,92.64999999999999
LL-melt breccia,44.50611111111111
LL-melt rock,537.2571428571429
LL3,448.2764296875
LL3-4,383.0
LL3-5,113.565
LL3-6,2142.6355555555556
LL3.0,75.5575
LL3.00,691.0
LL3.05,128.0
LL3.1,1405.865
LL3.1-3.5,80.09999999999998
LL3.10,552.0666666666667
LL3.15,387.1033333333333
LL3.2,4478.7300000000005
LL3.3,645.5566666666667
LL3.4,1283.8229999999999
LL3.5,390.4858823529412
LL3.6,4852.049411764706
LL3.7,3452.7265384615384
LL3.7-6,226.806
LL3.8,603.8921428571429
LL3.8-4,3500.0
LL3.8-6,916.6666666666666
LL3.9,1586.9524999999999
LL3.9/4,18.6
LL3/4,1452.0
LL4,874.7136940298507
LL4-5,199.65
LL4-6,927.0535294117647
LL4/5,873.78
LL4/6,35.0
LL5,464.6758839479393
LL5-6,917.4825000000001
LL5-7,87.4
LL5/6,162.35625
LL6,691.8267361722957
LL6 ,155.595
LL6(?),293.6
LL6-an,2730.0
LL6-melt breccia,126.0
LL6/7,533.75
LL7,200.23454545454544
LL7(?),8.0
LL<3.5,200.0
LL~3,19.866666666666664
LL~4,28.7
LL~4/5,23.8
LL~5,60.53222222222222
LL~6,413.22200000000004
Lodranite,268.9335
Lodranite-an,13.8
Lunar,536.849268292683
Lunar (anorth),147.8678260869565
Lunar (bas. breccia),79.0
Lunar (bas/anor),5.585
Lunar (bas/gab brec),191.2
Lunar (basalt),1027.10875
Lunar (feldsp. breccia),500.5888888888889
Lunar (gabbro),413.5316666666667
Lunar (norite),633.0
L~3,362.7
L~4,376.18
L~4-6,45.0
L~5,805.2615625
L~6,555.9021276595745
Martian,9.3
Martian (OPX),1930.9
Martian (basaltic breccia),200.0
Martian (chassignite),2305.5
Martian (nakhlite),2058.714285714286
Martian (shergottite),879.0285353535353
Mesosiderite,4135.128588235294
Mesosiderite-A,6234.75
Mesosiderite-A1,698206.3333333334
Mesosiderite-A2,4949.0
Mesosiderite-A3,30666.666666666668
Mesosiderite-A3/4,320000.0
Mesosiderite-A4,19166.666666666668
Mesosiderite-B,2257.75
Mesosiderite-B1,1324.375
Mesosiderite-B2,11857.342
Mesosiderite-B4,359333.3333333333
Mesosiderite-C,34843.857142857145
Mesosiderite-C2,25613.0
Mesosiderite-an,2008.8166666666666
Mesosiderite?,414.0
OC,3133.0175342465755
OC3,940.7625
Pallasite,6319.56
"Pallasite, PES",42167.5
"Pallasite, PMG",147304.73684210525
"Pallasite, PMG-an",685358.9090909091
"Pallasite, ungrouped",7310.786
Pallasite?,14180.0
R,66.35333333333334
R3,87.74066666666667
R3-4,171.0
R3-5,604.2166666666667
R3-6,204.45
R3.4,10.5
R3.5-4,248.0
R3.5-6,205.0
R3.6,690.4666666666667
R3.7,236.0
R3.8,301.34666666666664
R3.8-5,174.0
R3.8-6,266.55
R3.9,3055.7475
R3/4,80.65
R4,226.04619047619047
R4/5,184.0
R5,1359.824
R6,61.89111111111111
Relict H,
Relict OC,0.0
Relict iron,0.0
Stone-uncl,10750.528333333332
Stone-ung,0.63
Unknown,
Ureilite,490.0149
Ureilite-an,1287.125
Ureilite-pmict,262.68565217391307
Winonaite,1129.0132
